Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_171,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_172,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_173,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_174,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_175,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_176,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_177,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_178,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_179,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_180,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_181,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_182,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_183,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_184,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_185,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_186,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_187,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_188,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_189,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_190,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_191,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_192,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_193,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_194,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_195,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_196,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_197,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_198,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_199,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_200,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_201,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_202,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_203,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_204,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_205,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_206,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_207,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_208,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_209,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_210,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_211,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_212,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_213,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_214,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_215,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_216,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_217,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_218,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_219,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_220,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_221,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_222,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_223,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_224,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_225,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_226,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_227,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_228,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_229,same as above,,
